iter	Passed	Remaining
1430	42028	75450
1431	42053	75414
1432	42080	75381
1433	42108	75349
1434	42138	75321
1435	42165	75286
1436	42192	75253
1437	42221	75222
1438	42249	75192
1439	42276	75157
1440	42302	75122
1441	42325	75082
1442	42353	75050
1443	42384	75023
1444	42412	74992
1445	42438	74956
1446	42466	74924
1447	42495	74894
1448	42522	74861
1449	42550	74829
1450	42576	74795
1451	42604	74763
1452	42632	74731
1453	42662	74703
1454	42687	74665
1455	42713	74630
1456	42740	74597
1457	42769	74567
1458	42799	74539
1459	42825	74504
1460	42851	74469
1461	42876	74433
1462	42902	74398
1463	42931	74366
1464	42956	74330
1465	42982	74295
1466	43008	74260
1467	43035	74226
1468	43066	74201
1469	43096	74172
1470	43125	74142
1471	43152	74109
1472	43184	74085
1473	43211	74052
1474	43237	74016
1475	43263	73982
1476	43293	73954
1477	43323	73925
1478	43350	73892
1479	43379	73861
1480	43405	73826
1481	43435	73799
1482	43461	73764
1483	43487	73730
1484	43514	73695
1485	43539	73660
1486	43573	73638
1487	43604	73612
1488	43633	73582
1489	43664	73555
1490	43692	73524
1491	43719	73490
1492	43752	73467
1493	43787	73448
1494	43842	73461
1495	43882	73449
1496	43965	73511
1497	44030	73541
1498	44064	73518
1499	44097	73495
1500	44129	73470
1501	44154	73433
1502	44192	73419
1503	44238	73416
1504	44269	73389
1505	44297	73357
1506	44335	73343
1507	44369	73321
1508	44413	73315
1509	44455	73307
1510	44487	73281
1511	44519	73257
1512	44555	73238
1513	44591	73219
1514	44633	73211
1515	44669	73191
1516	44703	73170
1517	44742	73156
1518	44791	73158
1519	44853	73181
1520	44891	73165
1521	44935	73160
1522	44972	73143
1523	45000	73110
1524	45037	73093
1525	45072	73073
1526	45101	73042
1527	45131	73013
1528	45172	73002
1529	45204	72977
1530	45243	72962
1531	45277	72939
1532	45317	72927
1533	45348	72901
1534	45381	72876
1535	45423	72866
1536	45461	72850
1537	45493	72825
1538	45521	72792
1539	45553	72766
1540	45581	72735
1541	45622	72724
1542	45657	72702
1543	45703	72699
1544	45744	72688
1545	45793	72689
1546	45841	72688
1547	45896	72698
1548	45931	72678
1549	45967	72658
1550	45997	72628
1551	46030	72605
1552	46061	72576
1553	46089	72545
1554	46123	72522
1555	46158	72500
1556	46188	72472
1557	46220	72445
1558	46255	72425
1559	46284	72393
1560	46321	72374
1561	46365	72368
1562	46435	72401
1563	46498	72423
1564	46538	72410
1565	46580	72399
1566	46620	72385
1567	46658	72367
1568	46696	72351
